Reporting ID,Data Year,MapLot,Annual Report Received,BEUDO Category,PD Parcel Living Area,PD Parcel Units,Address,Year Built,Buildings Included,Buildings Included Count,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2),Latitude,Longitude,Location
B1038,2022,106-122,Yes,Municipal,153194,205.0,260 Green Street,1973.0,624-4,1,Parking,Parking (110883.0),110884.0,,CAMBRIDGE CITY OF,,,-0.5863929321826072,227437.3,,,,,,,,,,,,227437.3,230684.0,2.8,2.9,636824.5,645915.3,7.9,8.0,-0.4933433768590335,0.2,,,42.3641231141615,-71.10373294657,POINT (-71.10373294657 42.3641231141615)
B1128,2022,35-95,No,Non-Residential,32775,0.0,155 Gore St,,369-2,1,,,,,MASSACHUSETTS COMMONWEALTH OF,MDC SKATING RINK,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3729992848932,-71.0845662357935,POINT (-71.0845662357935 42.3729992848932)
B1362,2022,265D-58,No,Residential,309512,294.0,50 CambridgePark Drive,2022.0,44-14,1,Multifamily Housing,Multifamily Housing (374238.0),374238.0,294.0,50 CP DEVELOPMENT LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3940892468754,-71.1438660879215,POINT (-71.1438660879215 42.3940892468754)
B1521,2022,62-34,No,Residential,150644,210.0,282-280-278 VASSAR ST,1963.0,747-3,1,College/University,College/University (13996.0),13996.0,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,-0.5020208910494305,0.0,,,42.3554464136857,-71.1031534614646,POINT (-71.1031534614646 42.3554464136857)
B1808,2022,134-2,No,Non-Residential,26379,0.0,400 Harvard Street,,408-5,1,,,,,OLD CAMBRIDGE BAPTIST CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3716618131648,-71.1142392798741,POINT (-71.1142392798741 42.3716618131648)
B1117,2022,15-28,Yes,Non-Residential,532739,,50-60 Binney ST,2016.0,611-1,1,Mixed Use Property,"Office (300818.0),Laboratory (265000.0),Parking (85880.0),Fast Food Restaurant (2159.0)",567977.0,,"ARE-MA REGION NO. 40 LLC,",C/O THOMSON REUTERS PTS,,2.9893781951750245,35792545.6,2.0479011363534734,54854394.1,,,,,,,,,,90646939.7,89739851.3,159.6,158.0,157816241.5,156863798.6,277.9,276.2,2.40912638481308,9.7,-0.18983410446858828,2.55,42.3649020268194,-71.0791409754504,POINT (-71.0791409754504 42.3649020268194)
B1423,2022,14-44,Yes,Non-Residential,302919,1.0,675 W Kendall Street,2002.0,620-11,1,Laboratory,Laboratory (311279.0),311279.0,,"BMR-675 WEST KENDALL STREET LLC,",C/O RYAN LLC,,3.1584771310722397,37474426.8,-0.21825651806983937,1275122.5,,,,,,,,40728339.6,,79477889.0,80046783.7,255.3,257.2,155265140.2,155949543.9,498.8,501.0,2.3695484542373673,17.4,1.0692035770235915,38.07,42.3646801004477,-71.0823439368103,POINT (-71.0823439368103 42.3646801004477)
B1441,2022,209-52,Yes,Residential,67125,66.0,41-43 Linnaean Street,1922.0,175-9,1,Multifamily Housing,Multifamily Housing (94360.0),94360.0,66.0,"EPSTEIN, GAIL L.",,39.0,-0.5461644355328704,627555.5,-0.009893213650090467,6201500.1,,,,,,,,,,6829055.6,7316090.7,72.4,77.5,8268730.4,8769374.8,87.6,92.9,-0.3037079447957238,4.0,-0.15768387890876934,18.15,42.3836608184402,-71.124205258346,POINT (-71.124205258346 42.3836608184402)
B1200,2022,157-69,Yes,Non-Residential,1462119,18.0,1525 Massachusetts Avenue,1967.0,266-10,1,College/University,College/University (40555.0),40555.0,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,-0.5297337145590593,790977.9,,,,,,,,,489496.3,1926560.0,,3207034.2,3339169.3,79.1,82.3,4977910.7,5149044.5,122.7,127.0,-0.3910122034186203,5.2,-0.3376985216085911,5.54,42.3775688632058,-71.1189082376501,POINT (-71.1189082376501 42.3775688632058)
B1715,2022,133-23,Yes,Non-Residential,63198,4.0,14 Arrow Street,1860.0,"439-4, 439-7",2,Office,Office (63198.0),63198.0,,"DOWSE, GRANTON H., JR.,",IRENE A. M. DOWSE & LEONARD,95.0,-0.5102905535186997,984362.0,-0.21569891410541472,1335588.4,,,,,,,,,,2319950.4,2423431.2,36.7,38.3,4158581.3,4219523.3,65.8,66.8,-0.42683340528995417,2.2,-0.30243854521366736,8.16,42.3709879687389,-71.1148928422986,POINT (-71.1148928422986 42.3709879687389)
